,circle,rectangle,no_shape,total,truth,accuracy
circle,716,4,0,720,720,99%
rectangle,0,0,0,0,0,-
diamond,0,0,0,0,0,-
ellipse,0,0,0,0,0,-
parallelogram,0,0,0,0,0,-
line,0,0,2041,2041,2043,100%
double circle,0,0,340,340,342,100%
no_shape,0,0,24938,24938,53870,100%
total,716,4,27319,56078,56975,0
# dataset: ['./__datasets__/FA_1.1/no_text/FA_Train.txt', './__datasets__/FA_1.1/no_text/FA_Validation.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: perfect_mock_rejector
# shape no shape features: closed_shape
# circle rectangle features: amount_of_convex_hull_vertices_to_amount_of_points_ratio
# False negatives: 0.005555555555555536
# False positives: 0.5237794690922591
# True negatives: 0.46292927417857804
# False positive rate: 0.530834932460398
# False negative rate: 0.011858560198647903
