,circle,rectangle,no_shape,total,truth,accuracy
circle,211,2,0,213,213,99%
rectangle,81,102,0,183,183,55%
diamond,0,0,0,0,0,-
ellipse,0,0,0,0,0,-
parallelogram,0,0,0,0,0,-
line,0,0,417,417,417,100%
double circle,0,0,0,0,0,-
no_shape,0,0,1638,1638,5148,100%
total,292,104,2055,4902,5961,0
# dataset: ['./__datasets__/PN_1.0/PN_Test.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: perfect_mock_rejector
# shape no shape features: closed_shape
# circle rectangle features: nearest_point_for_every_edge_point
# False negatives: 0.20959595959595956
# False positives: 0.621017871017871
# True negatives: 0.3181818181818182
# False positive rate: 0.6612202688728024
# False negative rate: 0.39712918660287083
