,circle,rectangle,no_shape,total,truth,accuracy
circle,720,0,0,720,720,100%
rectangle,0,0,0,0,0,-
diamond,0,0,0,0,0,-
ellipse,0,0,0,0,0,-
parallelogram,0,0,0,0,0,-
line,0,0,2041,2041,2043,100%
double circle,0,0,340,340,342,100%
no_shape,0,0,10692,10692,53870,100%
total,720,0,13073,27586,56975,0
# dataset: ['./__datasets__/FA_1.1/no_text/FA_Train.txt', './__datasets__/FA_1.1/no_text/FA_Validation.txt']
# grouper: optimized_grouper
# classifier: perfect_mock_classifier
# rejector: hellinger_and_cosine
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_vertices_to_amount_of_points_rationearest_point_for_every_edge_point
# False negatives: 0
# False positives: 43178
# True negatives: 10692
# True positives: 720
# False positive rate: 0.8015221830332282
# False negative rate: 0.0
# True positive rate: 1.0
# True negative rate: 0.19847781696677186
# rejector with threshold: 0.5
