,circle,rectangle,no_shape,total,truth,accuracy
circle,170,0,100,270,270,62%
rectangle,0,702,217,919,920,76%
diamond,0,0,543,543,544,100%
ellipse,513,0,130,643,643,79%
parallelogram,0,0,863,863,865,99%
line,0,0,3182,3182,3234,100%
double circle,0,0,0,0,0,-
no_shape,0,0,130094,130094,379516,100%
total,683,702,135129,273028,385992,0
# dataset: ['./__datasets__/FC_1.0/no_text/no_junk/FC_Train.txt', './__datasets__/FC_1.0/no_text/no_junk/FC_Validation.txt']
# grouper: optimized_grouper
# classifier: perfect_mock_classifier
# rejector: one_class_svm
# shape no shape features: closed_shape
# circle rectangle features: amount_of_convex_hull_vertices_to_amount_of_points_ratio
# False negatives: 0.26722689075630257
# False positives: 0.6535613781764141
# True negatives: 0.3427892368174201
# False positive rate: 0.6559552112892093
# False negative rate: 0.43806528823946095
