,circle,rectangle,no_shape,total,truth,accuracy
circle,20,0,250,270,270,7%
rectangle,0,919,0,919,920,99%
diamond,0,0,543,543,544,100%
ellipse,209,0,434,643,643,32%
parallelogram,0,0,863,863,865,99%
line,0,0,3182,3182,3234,100%
double circle,0,0,0,0,0,-
no_shape,0,0,96,96,379516,100%
total,229,919,5368,13032,385992,0
# dataset: ['./__datasets__/FC_1.0/no_text/no_junk/FC_Train.txt', './__datasets__/FC_1.0/no_text/no_junk/FC_Validation.txt']
# grouper: optimized_grouper
# classifier: perfect_mock_classifier
# rejector: one_class_svm
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_vertices_to_amount_of_points_rationearest_point_for_every_edge_point
# False negatives: 251
# False positives: 379420
# True negatives: 96
# True positives: 1148
# False positive rate: 0.9997470462378397
# False negative rate: 0.17941386704789136
# True positive rate: 0.8205861329521087
# True negative rate: 0.0002529537621602251
# rejector with threshold: 0.5
