,circle,rectangle,no_shape,total,truth,accuracy
circle,270,0,0,270,270,100%
rectangle,41,878,0,919,920,95%
diamond,0,0,543,543,544,100%
ellipse,554,89,0,643,643,86%
parallelogram,0,0,863,863,865,99%
line,0,0,3182,3182,3234,100%
double circle,0,0,0,0,0,-
no_shape,0,0,106999,106999,379516,100%
total,865,967,111587,226838,385992,0
# dataset: ['./__datasets__/FC_1.0/no_text/no_junk/FC_Train.txt', './__datasets__/FC_1.0/no_text/no_junk/FC_Validation.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: perfect_mock_rejector
# shape no shape features: closed_shape
# circle rectangle features: amount_of_convex_hull_vertices_to_amount_of_points_ratio
# False negatives: 0.03529411764705881
# False positives: 0.7135799281189726
# True negatives: 0.2819354124727284
# False positive rate: 0.7167945073501777
# False negative rate: 0.1112573524719833
