,circle,rectangle,no_shape,total,truth,accuracy
circle,720,0,0,720,720,100%
rectangle,0,0,0,0,0,-
diamond,0,0,0,0,0,-
ellipse,0,0,0,0,0,-
parallelogram,0,0,0,0,0,-
line,0,0,2020,2020,2043,98%
double circle,0,0,342,342,342,100%
no_shape,0,0,36752,36752,36752,100%
total,720,0,39114,79668,39857,0
# dataset: ['./__datasets__/FA_1.1/no_text/FA_Train.txt', './__datasets__/FA_1.1/no_text/FA_Validation.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: rejector_with_threshold
# shape no shape features: 
# circle rectangle features: 
# distance parameter: 600
# run time: 0.11 seconds
# recognizer calls: 39834
