,circle,rectangle,no_shape,total,truth,accuracy
circle,269,0,0,269,270,99%
rectangle,3,330,0,333,920,35%
diamond,121,41,0,162,544,70%
ellipse,518,13,0,531,643,80%
parallelogram,7,225,0,232,865,26%
line,25,93,2965,3083,3234,96%
double circle,0,0,0,0,0,-
no_shape,1355,3802,12056,17213,379516,98%
total,2298,4504,15021,43646,385992,0
# dataset: ['./__datasets__/FC_1.0/no_text/no_junk/FC_Train.txt', './__datasets__/FC_1.0/no_text/no_junk/FC_Validation.txt']
# grouper: optimized_grouper
# classifier: linear_svm
# rejector: hellinger_and_cosine
# shape no shape features: closed_shape
# circle rectangle features: number_of_convex_hull_vertices_to_amount_of_points_rationearest_point_for_every_edge_pointnumber_of_convex_hull_verticesdirectional_clustertemplate
# rejector threshold: 0
